Date,Company,Stock,L_share,L_capital,M_capitalization,T_volume,T_value,L_turnover_ratio
2019-01-02,788,901,5.21E+07,1.12E+08,1.32E+09,326368,4295872,0.63
2019-01-03,788,901,5.21E+07,1.12E+08,1.31E+09,427976,5358519,0.82
2019-01-04,788,901,5.21E+07,1.12E+08,1.32E+09,408991,5490148,0.78
2019-01-07,788,901,5.21E+07,1.12E+08,1.34E+09,440191,5301385,0.84
2019-01-08,788,901,5.22E+07,1.12E+08,1.33E+09,397831,4826642,0.76
2019-01-09,788,901,5.22E+07,1.12E+08,1.36E+09,386248,5532689,0.74
2019-01-10,788,901,5.22E+07,1.12E+08,1.36E+09,382877,5434257,0.73
2019-01-11,788,901,5.23E+07,1.12E+08,1.37E+09,380061,4592461,0.73
2019-01-14,788,901,5.23E+07,1.12E+08,1.36E+09,432891,4941021,0.83
2019-01-15,788,901,5.23E+07,1.12E+08,1.38E+09,439489,5236964,0.84
2019-01-16,788,901,5.23E+07,1.12E+08,1.39E+09,500078,5352467,0.96
2019-01-17,788,901,5.23E+07,1.12E+08,1.39E+09,475885,5857767,0.91
2019-01-18,788,901,5.23E+07,1.12E+08,1.40E+09,456738,5356125,0.87
2019-01-21,788,901,5.23E+07,1.12E+08,1.40E+09,398035,5320635,0.76
2019-01-22,788,901,5.23E+07,1.12E+08,1.40E+09,419441,4897406,0.8
2019-01-23,788,901,5.23E+07,1.12E+08,1.40E+09,408600,5170562,0.78
2019-01-24,788,901,5.23E+07,1.12E+08,1.42E+09,413652,6035836,0.79
2019-01-25,788,901,5.23E+07,1.12E+08,1.44E+09,410002,7065652,0.78
2019-01-28,788,901,5.23E+07,1.12E+08,1.44E+09,371619,6060559,0.71
2019-01-29,788,901,5.23E+07,1.12E+08,1.44E+09,552587,6504583,1.06
2019-01-30,788,901,5.23E+07,1.12E+08,1.46E+09,480390,6875693,0.92
2019-01-31,788,901,5.24E+07,1.12E+08,1.46E+09,545248,7762307,1.04
2019-02-01,788,901,5.24E+07,1.12E+08,1.45E+09,479379,6874000,0.92
2019-02-07,788,901,5.24E+07,1.12E+08,1.45E+09,427843,6339361,0.82
2019-02-08,788,901,5.24E+07,1.12E+08,1.44E+09,391029,5728530,0.75
2019-02-11,788,901,5.24E+07,1.12E+08,1.44E+09,406060,5327610,0.78
2019-02-12,788,901,5.24E+07,1.12E+08,1.45E+09,429940,5929463,0.82
2019-02-13,788,901,5.24E+07,1.12E+08,1.45E+09,421990,5585495,0.81
2019-02-14,788,901,5.24E+07,1.12E+08,1.47E+09,573362,6426023,1.09
2019-02-15,788,901,5.24E+07,1.12E+08,1.45E+09,400592,5097631,0.76
2019-02-18,788,901,5.24E+07,1.12E+08,1.46E+09,314371,4668187,0.6
2019-02-19,788,901,5.25E+07,1.12E+08,1.46E+09,389094,4534559,0.74
2019-02-20,788,901,5.25E+07,1.12E+08,1.47E+09,374342,5948417,0.71
2019-02-21,788,901,5.25E+07,1.12E+08,1.47E+09,382511,5480910,0.73
2019-02-22,788,901,5.25E+07,1.12E+08,1.47E+09,409311,4645184,0.78
2019-02-25,788,901,5.25E+07,1.12E+08,1.47E+09,339234,4689861,0.65
2019-02-26,788,901,5.25E+07,1.12E+08,1.47E+09,331962,5024238,0.63
2019-02-27,788,901,5.25E+07,1.12E+08,1.48E+09,301513,4914613,0.57
2019-02-28,788,901,5.25E+07,1.12E+08,1.45E+09,510022,8307296,0.97
2019-03-04,788,901,5.25E+07,1.12E+08,1.45E+09,373166,6405237,0.71
2019-03-05,788,901,5.25E+07,1.12E+08,1.44E+09,313146,4980941,0.6
2019-03-06,788,901,5.25E+07,1.12E+08,1.44E+09,328943,4828088,0.63
2019-03-07,788,901,5.25E+07,1.12E+08,1.43E+09,292578,4858919,0.56
2019-03-08,788,901,5.25E+07,1.12E+08,1.41E+09,313315,4497331,0.6
2019-03-11,788,901,5.25E+07,1.12E+08,1.41E+09,272103,4077476,0.52
2019-03-12,789,902,5.25E+07,1.12E+08,1.42E+09,355283,4222805,0.68
2019-03-13,789,902,5.25E+07,1.12E+08,1.42E+09,285601,4088451,0.54
2019-03-14,790,903,5.26E+07,1.12E+08,1.42E+09,341010,5882524,0.65
2019-03-15,790,903,5.26E+07,1.12E+08,1.44E+09,387136,6821324,0.74
2019-03-18,790,903,5.26E+07,1.12E+08,1.44E+09,257951,4093226,0.49
2019-03-19,790,903,5.26E+07,1.12E+08,1.44E+09,319703,3867859,0.61
2019-03-20,790,903,5.26E+07,1.12E+08,1.44E+09,317607,4175741,0.6
2019-03-21,790,903,5.26E+07,1.12E+08,1.45E+09,342747,6229925,0.65
2019-03-22,790,903,5.26E+07,1.12E+08,1.45E+09,333618,6881723,0.63
2019-03-25,790,903,5.26E+07,1.12E+08,1.42E+09,307071,4136472,0.58
2019-03-26,790,903,5.26E+07,1.12E+08,1.42E+09,301254,4248900,0.57
2019-03-27,790,903,5.26E+07,1.12E+08,1.42E+09,363169,4490156,0.69
2019-03-28,791,904,5.26E+07,1.12E+08,1.41E+09,288036,4403906,0.55
2019-03-29,791,904,5.26E+07,1.12E+08,1.42E+09,364619,5248941,0.69
2019-04-01,791,904,5.26E+07,1.12E+08,1.44E+09,263313,4365111,0.5
2019-04-02,791,904,5.26E+07,1.12E+08,1.44E+09,257453,4247457,0.49
2019-04-03,791,904,5.26E+07,1.12E+08,1.46E+09,358645,5466969,0.68
2019-04-04,791,904,5.26E+07,1.12E+08,1.46E+09,431013,4857554,0.82
2019-04-05,791,904,5.26E+07,1.12E+08,1.46E+09,517153,4215787,0.98
2019-04-08,791,904,5.27E+07,1.12E+08,1.46E+09,347910,4660047,0.66
2019-04-09,791,904,5.27E+07,1.12E+08,1.47E+09,414809,4904130,0.79
2019-04-10,791,904,5.27E+07,1.12E+08,1.47E+09,399695,5135094,0.76
2019-04-11,791,904,5.27E+07,1.12E+08,1.47E+09,402016,6022087,0.76
2019-04-12,791,904,5.28E+07,1.12E+08,1.48E+09,449634,6098418,0.85
2019-04-15,791,904,5.28E+07,1.12E+08,1.49E+09,404160,6668129,0.77
2019-04-16,791,904,5.28E+07,1.12E+08,1.49E+09,569056,7083491,1.08
2019-04-17,791,904,5.28E+07,1.12E+08,1.49E+09,452475,5586184,0.86
2019-04-18,791,904,5.28E+07,1.13E+08,1.47E+09,573343,6501104,1.09
2019-04-19,791,904,5.28E+07,1.13E+08,1.47E+09,525264,4965672,0.99
2019-04-22,791,904,5.28E+07,1.13E+08,1.47E+09,493984,4639971,0.94
2019-04-23,791,904,5.28E+07,1.13E+08,1.47E+09,481178,4922938,0.91
2019-04-24,791,904,5.28E+07,1.13E+08,1.46E+09,575100,6342430,1.09
2019-04-25,791,904,5.28E+07,1.13E+08,1.45E+09,441137,5610697,0.84
2019-04-26,791,904,5.28E+07,1.13E+08,1.45E+09,570172,5346146,1.08
2019-04-29,791,904,5.28E+07,1.13E+08,1.47E+09,380823,4985906,0.72
2019-04-30,791,904,5.28E+07,1.13E+08,1.46E+09,381414,5697107,0.72
2019-05-02,791,904,5.29E+07,1.13E+08,1.47E+09,369059,5026634,0.7
2019-05-03,791,904,5.30E+07,1.13E+08,1.46E+09,617878,5297907,1.17
2019-05-07,790,903,5.31E+07,1.13E+08,1.44E+09,484097,5467057,0.91
2019-05-08,790,903,5.31E+07,1.13E+08,1.44E+09,456334,5170591,0.86
2019-05-09,790,903,5.31E+07,1.13E+08,1.39E+09,743507,8236438,1.4
2019-05-10,790,901,5.31E+07,1.13E+08,1.40E+09,714766,6407849,1.35
2019-05-13,790,901,5.31E+07,1.13E+08,1.38E+09,505751,4601111,0.95
2019-05-14,790,901,5.31E+07,1.13E+08,1.38E+09,696195,5865912,1.31
2019-05-15,790,901,5.31E+07,1.13E+08,1.39E+09,577795,5052873,1.09
2019-05-16,790,901,5.32E+07,1.13E+08,1.37E+09,745164,6042440,1.4
2019-05-17,790,901,5.32E+07,1.13E+08,1.36E+09,537380,5378895,1.01
2019-05-20,789,900,5.32E+07,1.13E+08,1.36E+09,640195,4889671,1.2
2019-05-21,789,900,5.31E+07,1.12E+08,1.37E+09,526859,5272369,0.99
2019-05-22,789,900,5.31E+07,1.12E+08,1.37E+09,509974,4637965,0.96
2019-05-23,789,900,5.32E+07,1.12E+08,1.37E+09,509269,4819255,0.96
2019-05-24,789,900,5.34E+07,1.13E+08,1.36E+09,480648,4581386,0.9
2019-05-27,789,900,5.34E+07,1.13E+08,1.36E+09,351616,3506627,0.66
2019-05-28,789,900,5.34E+07,1.13E+08,1.36E+09,494479,8080273,0.93
2019-05-29,790,901,5.36E+07,1.13E+08,1.35E+09,380894,4686652,0.71
2019-05-30,790,901,5.36E+07,1.13E+08,1.36E+09,461850,4978843,0.86
2019-05-31,790,901,5.36E+07,1.13E+08,1.36E+09,439182,5039081,0.82
2019-06-03,790,901,5.36E+07,1.13E+08,1.38E+09,387146,4640457,0.72
2019-06-04,790,901,5.36E+07,1.13E+08,1.38E+09,435992,4841761,0.81
2019-06-05,790,901,5.36E+07,1.13E+08,1.38E+09,380157,4506228,0.71
2019-06-07,790,901,5.36E+07,1.13E+08,1.38E+09,368392,4347351,0.69
2019-06-10,790,901,5.36E+07,1.13E+08,1.40E+09,457641,4214044,0.85
2019-06-11,790,901,5.36E+07,1.13E+08,1.41E+09,550740,4276695,1.03
2019-06-12,790,901,5.36E+07,1.13E+08,1.40E+09,693508,4661010,1.29
2019-06-13,790,901,5.36E+07,1.13E+08,1.40E+09,553393,5998223,1.03
2019-06-14,790,901,5.36E+07,1.13E+08,1.40E+09,473370,4716416,0.88
2019-06-17,790,901,5.36E+07,1.13E+08,1.39E+09,561550,4255706,1.05
2019-06-18,790,901,5.36E+07,1.13E+08,1.40E+09,600964,4579592,1.12
2019-06-19,790,901,5.36E+07,1.13E+08,1.41E+09,862980,4984534,1.61
2019-06-20,790,901,5.36E+07,1.13E+08,1.42E+09,1007159,3994784,1.88
2019-06-21,790,901,5.36E+07,1.13E+08,1.42E+09,692028,5226303,1.29
2019-06-24,790,901,5.35E+07,1.13E+08,1.42E+09,669640,4054921,1.25
2019-06-25,790,901,5.35E+07,1.13E+08,1.41E+09,642999,4249732,1.2
2019-06-26,789,900,5.36E+07,1.13E+08,1.41E+09,736852,4455865,1.38
2019-06-27,789,900,5.36E+07,1.13E+08,1.42E+09,644900,5122462,1.2
2019-06-28,789,900,5.36E+07,1.13E+08,1.42E+09,537275,4282405,1
2019-07-01,789,900,5.36E+07,1.13E+08,1.42E+09,412291,4730193,0.77
2019-07-02,789,900,5.36E+07,1.13E+08,1.41E+09,460830,4107542,0.86
2019-07-03,789,900,5.36E+07,1.13E+08,1.40E+09,522709,4615984,0.98
2019-07-04,789,900,5.37E+07,1.13E+08,1.41E+09,446933,4542738,0.83
2019-07-05,789,900,5.37E+07,1.13E+08,1.41E+09,459391,4025814,0.86
2019-07-08,789,900,5.37E+07,1.13E+08,1.38E+09,515950,4349730,0.96
2019-07-09,789,900,5.37E+07,1.13E+08,1.37E+09,440122,4439841,0.82
2019-07-10,789,900,5.37E+07,1.13E+08,1.37E+09,355678,3938557,0.66
2019-07-11,789,900,5.37E+07,1.13E+08,1.39E+09,376675,5057466,0.7
2019-07-12,789,900,5.37E+07,1.13E+08,1.39E+09,403935,3775269,0.75
2019-07-15,789,900,5.37E+07,1.13E+08,1.39E+09,463520,3740180,0.86
2019-07-16,789,900,5.37E+07,1.13E+08,1.39E+09,682803,5284193,1.27
2019-07-17,789,900,5.37E+07,1.13E+08,1.38E+09,761626,4643512,1.42
2019-07-18,789,900,5.37E+07,1.13E+08,1.38E+09,446644,3939884,0.83
2019-07-19,789,900,5.37E+07,1.13E+08,1.40E+09,394904,4198432,0.74
2019-07-22,789,900,5.37E+07,1.13E+08,1.40E+09,332630,3206207,0.62
2019-07-23,789,900,5.37E+07,1.13E+08,1.40E+09,648124,4601030,1.21
2019-07-24,789,900,5.37E+07,1.13E+08,1.39E+09,851393,4233306,1.58
2019-07-25,789,900,5.37E+07,1.13E+08,1.38E+09,598634,5207430,1.11
2019-07-26,789,900,5.37E+07,1.13E+08,1.38E+09,589074,5138752,1.1
2019-07-29,789,900,5.37E+07,1.13E+08,1.35E+09,608671,4681216,1.13
2019-07-30,789,900,5.38E+07,1.13E+08,1.36E+09,547030,3877489,1.02
2019-07-31,789,900,5.38E+07,1.13E+08,1.35E+09,589386,5532913,1.1
2019-08-01,789,900,5.38E+07,1.13E+08,1.34E+09,461743,4443150,0.86
2019-08-02,789,900,5.38E+07,1.13E+08,1.33E+09,438538,5338221,0.82
2019-08-05,789,900,5.38E+07,1.13E+08,1.30E+09,639604,6599771,1.19
2019-08-06,789,900,5.38E+07,1.13E+08,1.28E+09,739588,7179083,1.37
2019-08-07,789,900,5.38E+07,1.13E+08,1.27E+09,760777,5373398,1.41
2019-08-08,789,900,5.38E+07,1.13E+08,1.28E+09,777166,6769546,1.44
2019-08-09,789,901,5.38E+07,1.13E+08,1.29E+09,654344,5051265,1.22
2019-08-12,789,901,5.38E+07,1.13E+08,1.30E+09,427141,3997755,0.79
2019-08-13,789,901,5.38E+07,1.13E+08,1.28E+09,660041,4340209,1.23
2019-08-14,789,901,5.40E+07,1.13E+08,1.29E+09,699585,5076486,1.3
2019-08-16,789,901,5.40E+07,1.13E+08,1.29E+09,421682,4274269,0.78
2019-08-19,789,901,5.40E+07,1.13E+08,1.29E+09,481022,3771542,0.89
2019-08-20,789,901,5.40E+07,1.13E+08,1.31E+09,463605,4130253,0.86
2019-08-21,789,901,5.40E+07,1.13E+08,1.31E+09,391568,3821801,0.73
2019-08-22,789,901,5.40E+07,1.13E+08,1.30E+09,435565,4095130,0.81
2019-08-23,789,901,5.40E+07,1.13E+08,1.30E+09,381087,3498465,0.71
2019-08-26,789,901,5.40E+07,1.13E+08,1.28E+09,324853,3751276,0.6
2019-08-27,789,901,5.40E+07,1.13E+08,1.28E+09,427042,5037420,0.79
2019-08-28,789,901,5.40E+07,1.13E+08,1.30E+09,284344,3288745,0.53
2019-08-29,789,901,5.40E+07,1.13E+08,1.29E+09,285103,3709596,0.53
2019-08-30,789,901,5.40E+07,1.13E+08,1.31E+09,317733,4371489,0.59
2019-09-02,789,901,5.40E+07,1.13E+08,1.31E+09,262154,2924232,0.49
2019-09-03,789,901,5.40E+07,1.13E+08,1.31E+09,342077,3916058,0.63
2019-09-04,789,901,5.40E+07,1.13E+08,1.33E+09,348722,4133684,0.65
2019-09-05,789,901,5.40E+07,1.13E+08,1.34E+09,488067,5556532,0.9
2019-09-06,789,901,5.40E+07,1.13E+08,1.34E+09,384441,3667155,0.71
2019-09-09,789,901,5.40E+07,1.13E+08,1.35E+09,511821,4401822,0.95
2019-09-10,789,901,5.40E+07,1.13E+08,1.36E+09,504391,4458785,0.93
2019-09-11,789,901,5.40E+07,1.13E+08,1.37E+09,429075,5997521,0.79
2019-09-16,789,901,5.40E+07,1.13E+08,1.38E+09,493516,5676634,0.91
2019-09-17,789,901,5.40E+07,1.13E+08,1.38E+09,507995,4572241,0.94
2019-09-18,789,901,5.40E+07,1.13E+08,1.38E+09,613148,4849404,1.13
2019-09-19,789,901,5.41E+07,1.14E+08,1.39E+09,493038,4796838,0.91
2019-09-20,789,901,5.41E+07,1.14E+08,1.40E+09,589920,5401657,1.09
2019-09-23,789,901,5.41E+07,1.14E+08,1.40E+09,420948,4095774,0.78
2019-09-24,789,901,5.41E+07,1.14E+08,1.40E+09,535771,4406729,0.99
2019-09-25,789,901,5.41E+07,1.14E+08,1.39E+09,651552,5181992,1.2
2019-09-26,789,901,5.42E+07,1.14E+08,1.39E+09,430577,4656831,0.8
2019-09-27,789,901,5.42E+07,1.14E+08,1.37E+09,285943,3489261,0.53
2019-09-30,789,901,5.42E+07,1.14E+08,1.38E+09,327625,3709169,0.6
2019-10-01,789,901,5.42E+07,1.14E+08,1.39E+09,389336,3869998,0.72
2019-10-02,789,901,5.42E+07,1.14E+08,1.36E+09,414460,3933922,0.77
2019-10-04,789,901,5.42E+07,1.14E+08,1.35E+09,402941,3963264,0.74
2019-10-07,789,901,5.42E+07,1.14E+08,1.35E+09,322185,3412076,0.59
2019-10-08,789,901,5.42E+07,1.14E+08,1.37E+09,437517,4256284,0.81
2019-10-10,789,901,5.42E+07,1.14E+08,1.36E+09,445846,5612446,0.82
2019-10-11,789,901,5.42E+07,1.14E+08,1.37E+09,381147,3790613,0.7
2019-10-14,789,901,5.42E+07,1.14E+08,1.38E+09,511216,4579415,0.94
2019-10-15,789,901,5.42E+07,1.14E+08,1.38E+09,464534,4138986,0.86
2019-10-16,789,901,5.42E+07,1.14E+08,1.39E+09,524545,4463659,0.97
2019-10-17,789,901,5.42E+07,1.14E+08,1.39E+09,314177,3484054,0.58
2019-10-18,792,908,5.43E+07,1.14E+08,1.38E+09,516688,5429307,0.95
2019-10-21,792,908,5.43E+07,1.14E+08,1.38E+09,606109,3598366,1.12
2019-10-22,792,908,5.43E+07,1.14E+08,1.40E+09,504063,4811063,0.93
2019-10-23,792,908,5.43E+07,1.14E+08,1.39E+09,429453,5110884,0.79
2019-10-24,792,908,5.43E+07,1.14E+08,1.40E+09,367717,5208814,0.68
2019-10-25,792,908,5.45E+07,1.14E+08,1.40E+09,348686,4429329,0.64
2019-10-28,792,908,5.45E+07,1.14E+08,1.40E+09,269234,3853805,0.49
2019-10-29,792,908,5.45E+07,1.14E+08,1.40E+09,357662,4067890,0.66
2019-10-30,794,910,5.47E+07,1.14E+08,1.40E+09,415552,5051508,0.76
2019-10-31,794,910,5.47E+07,1.14E+08,1.40E+09,461323,5777341,0.84
2019-11-01,794,910,5.47E+07,1.14E+08,1.41E+09,418314,4599473,0.76
2019-11-04,794,910,5.47E+07,1.14E+08,1.43E+09,476257,5636693,0.87
2019-11-05,794,910,5.47E+07,1.14E+08,1.44E+09,400644,5181344,0.73
2019-11-06,795,911,5.47E+07,1.14E+08,1.44E+09,410085,5680105,0.75
2019-11-07,795,911,5.47E+07,1.14E+08,1.44E+09,425663,5134908,0.78
2019-11-08,795,911,5.47E+07,1.14E+08,1.43E+09,574127,5969290,1.05
2019-11-11,795,911,5.47E+07,1.14E+08,1.43E+09,617266,5346846,1.13
2019-11-12,795,911,5.47E+07,1.14E+08,1.44E+09,610429,5743924,1.12
2019-11-13,796,912,5.49E+07,1.15E+08,1.43E+09,664366,5376791,1.21
2019-11-14,796,912,5.49E+07,1.15E+08,1.44E+09,521110,6080226,0.95
2019-11-15,796,912,5.49E+07,1.15E+08,1.45E+09,556246,5694837,1.01
2019-11-18,796,912,5.49E+07,1.15E+08,1.45E+09,489233,4450920,0.89
2019-11-19,797,913,5.49E+07,1.15E+08,1.45E+09,826885,5605578,1.51
2019-11-20,797,913,5.49E+07,1.15E+08,1.43E+09,581056,5583377,1.06
2019-11-21,797,913,5.49E+07,1.15E+08,1.41E+09,579555,5437430,1.06
2019-11-22,797,913,5.49E+07,1.15E+08,1.41E+09,519852,4310268,0.95
2019-11-25,798,914,5.49E+07,1.15E+08,1.43E+09,397676,4288509,0.72
2019-11-26,798,914,5.49E+07,1.15E+08,1.42E+09,532601,7636051,0.97
2019-11-27,798,914,5.49E+07,1.15E+08,1.43E+09,367796,4318300,0.67
2019-11-28,798,914,5.49E+07,1.15E+08,1.42E+09,335227,4483257,0.61
2019-11-29,798,914,5.49E+07,1.15E+08,1.40E+09,433261,5100927,0.79
2019-12-02,798,914,5.49E+07,1.15E+08,1.40E+09,385344,4515836,0.7
2019-12-03,798,914,5.49E+07,1.15E+08,1.40E+09,450040,4709540,0.82
2019-12-04,798,914,5.49E+07,1.15E+08,1.39E+09,347003,5085779,0.63
2019-12-05,799,915,5.50E+07,1.15E+08,1.38E+09,472188,4625011,0.86
2019-12-06,799,915,5.50E+07,1.15E+08,1.40E+09,440188,4215044,0.8
2019-12-09,799,915,5.50E+07,1.15E+08,1.40E+09,393127,3982512,0.72
2019-12-10,799,915,5.50E+07,1.15E+08,1.41E+09,500064,4172975,0.91
2019-12-11,799,915,5.50E+07,1.15E+08,1.41E+09,668731,4837221,1.22
2019-12-12,799,915,5.50E+07,1.15E+08,1.44E+09,584637,8339490,1.06
2019-12-13,799,915,5.50E+07,1.15E+08,1.46E+09,540027,6253216,0.98
2019-12-16,799,915,5.50E+07,1.15E+08,1.46E+09,377054,4561208,0.69
2019-12-17,799,915,5.51E+07,1.15E+08,1.48E+09,599534,6380891,1.09
2019-12-18,799,915,5.51E+07,1.15E+08,1.48E+09,591106,5519070,1.07
2019-12-19,799,915,5.51E+07,1.15E+08,1.48E+09,643144,5262212,1.17
2019-12-20,799,915,5.51E+07,1.15E+08,1.48E+09,646683,5020843,1.17
2019-12-23,799,915,5.51E+07,1.15E+08,1.48E+09,502034,4734276,0.91
2019-12-24,799,915,5.51E+07,1.15E+08,1.47E+09,569968,4756455,1.03
2019-12-26,799,916,5.51E+07,1.15E+08,1.48E+09,571309,4795110,1.04
2019-12-27,799,916,5.53E+07,1.15E+08,1.48E+09,490168,5429665,0.89
2019-12-30,799,916,5.53E+07,1.15E+08,1.48E+09,416403,4113598,0.75
2020-01-02,799,916,5.53E+07,1.15E+08,1.46E+09,494678,4638167,0.89
2020-01-03,799,916,5.53E+07,1.15E+08,1.46E+09,631563,5763663,1.14
2020-01-06,799,916,5.53E+07,1.15E+08,1.45E+09,592671,5156541,1.07
2020-01-07,799,916,5.53E+07,1.15E+08,1.46E+09,568236,5143512,1.03
2020-01-08,799,916,5.53E+07,1.15E+08,1.45E+09,913831,8750722,1.65
2020-01-09,799,916,5.54E+07,1.15E+08,1.47E+09,592604,7261591,1.07
2020-01-10,799,916,5.54E+07,1.15E+08,1.48E+09,594537,6459300,1.07
2020-01-13,799,916,5.54E+07,1.15E+08,1.50E+09,488289,6214780,0.88
2020-01-14,799,916,5.54E+07,1.15E+08,1.51E+09,835899,7294228,1.51
2020-01-15,799,916,5.54E+07,1.15E+08,1.50E+09,746156,5946351,1.35
2020-01-16,799,916,5.54E+07,1.15E+08,1.51E+09,808332,6204474,1.46
2020-01-17,799,916,5.54E+07,1.15E+08,1.52E+09,580816,5444384,1.05
2020-01-20,799,916,5.54E+07,1.15E+08,1.52E+09,545491,5950403,0.98
2020-01-21,800,917,5.54E+07,1.15E+08,1.51E+09,770320,5569551,1.39
2020-01-22,800,917,5.55E+07,1.15E+08,1.53E+09,608510,6365617,1.1
2020-01-23,800,917,5.55E+07,1.15E+08,1.51E+09,509609,6790104,0.92
2020-01-28,800,917,5.55E+07,1.15E+08,1.47E+09,808879,8818232,1.46
2020-01-29,800,917,5.55E+07,1.15E+08,1.47E+09,692301,6589950,1.25
2020-01-30,800,917,5.55E+07,1.15E+08,1.45E+09,602838,7105203,1.09
2020-01-31,800,917,5.55E+07,1.15E+08,1.43E+09,710508,7226687,1.28
2020-02-03,800,917,5.55E+07,1.15E+08,1.43E+09,836700,8068704,1.51
2020-02-04,800,917,5.55E+07,1.15E+08,1.45E+09,624642,7791178,1.13
2020-02-05,800,917,5.55E+07,1.15E+08,1.46E+09,574396,7736275,1.04
2020-02-06,800,917,5.55E+07,1.15E+08,1.50E+09,695216,8334738,1.25
2020-02-07,800,917,5.55E+07,1.15E+08,1.49E+09,800342,8813174,1.44
2020-02-10,800,917,5.55E+07,1.15E+08,1.48E+09,609566,5471061,1.1
2020-02-11,800,917,5.55E+07,1.15E+08,1.50E+09,526211,6611195,0.95
2020-02-12,800,917,5.55E+07,1.15E+08,1.51E+09,632463,6892198,1.14
2020-02-13,800,917,5.55E+07,1.15E+08,1.51E+09,638666,8121197,1.15
2020-02-14,799,916,5.55E+07,1.15E+08,1.51E+09,597224,6379565,1.08
2020-02-17,799,916,5.55E+07,1.15E+08,1.51E+09,458248,5639201,0.83
2020-02-18,799,916,5.55E+07,1.15E+08,1.49E+09,470425,6411451,0.85
2020-02-19,799,916,5.54E+07,1.15E+08,1.49E+09,591155,7107034,1.07
2020-02-20,799,916,5.54E+07,1.15E+08,1.48E+09,709564,7677672,1.28
2020-02-21,799,916,5.52E+07,1.15E+08,1.46E+09,635474,7105856,1.15
2020-02-24,799,916,5.52E+07,1.15E+08,1.40E+09,948621,9315475,1.72
2020-02-25,799,916,5.53E+07,1.15E+08,1.42E+09,1565588,8952278,2.83
2020-02-26,799,916,5.53E+07,1.15E+08,1.40E+09,810938,8060327,1.47
2020-02-27,799,916,5.53E+07,1.15E+08,1.38E+09,562775,7241174,1.02
2020-02-28,799,916,5.53E+07,1.15E+08,1.34E+09,671552,9927960,1.22
2020-03-02,799,916,5.51E+07,1.15E+08,1.35E+09,528103,7811003,0.96
2020-03-03,799,916,5.51E+07,1.15E+08,1.36E+09,615693,8687847,1.12
2020-03-04,799,916,5.51E+07,1.15E+08,1.39E+09,606287,7829193,1.1
2020-03-05,799,916,5.51E+07,1.15E+08,1.40E+09,675205,7954349,1.23
2020-03-06,799,916,5.51E+07,1.15E+08,1.37E+09,865588,7233538,1.57
2020-03-09,799,916,5.51E+07,1.15E+08,1.32E+09,666868,8796944,1.21
2020-03-10,799,916,5.51E+07,1.15E+08,1.32E+09,638564,9133693,1.16
2020-03-11,799,916,5.51E+07,1.15E+08,1.28E+09,679716,8598097,1.23
2020-03-12,799,916,5.51E+07,1.15E+08,1.24E+09,850345,1.13E+07,1.54
2020-03-13,799,916,5.51E+07,1.15E+08,1.19E+09,1035278,1.34E+07,1.88
2020-03-16,799,916,5.51E+07,1.15E+08,1.16E+09,682004,8593833,1.24
2020-03-17,799,916,5.51E+07,1.15E+08,1.13E+09,649779,9709077,1.18
2020-03-18,799,916,5.51E+07,1.15E+08,1.07E+09,728008,9576387,1.32
2020-03-19,799,916,5.51E+07,1.15E+08,9.82E+08,977675,1.19E+07,1.77
2020-03-20,799,916,5.51E+07,1.15E+08,1.05E+09,817021,1.06E+07,1.48
2020-03-23,799,916,5.51E+07,1.15E+08,9.98E+08,647528,9645272,1.18
2020-03-24,798,915,5.47E+07,1.15E+08,1.08E+09,679288,1.05E+07,1.24
2020-03-25,798,915,5.47E+07,1.15E+08,1.15E+09,872809,1.26E+07,1.6
2020-03-26,798,915,5.47E+07,1.15E+08,1.14E+09,992474,1.24E+07,1.81
2020-03-27,798,915,5.47E+07,1.15E+08,1.16E+09,1077527,1.29E+07,1.97
2020-03-30,798,915,5.47E+07,1.15E+08,1.16E+09,767777,9081050,1.4
2020-03-31,798,915,5.48E+07,1.15E+08,1.18E+09,1037488,1.39E+07,1.89
2020-04-01,798,915,5.48E+07,1.15E+08,1.13E+09,1243591,1.21E+07,2.27
2020-04-02,798,915,5.48E+07,1.15E+08,1.16E+09,766313,1.02E+07,1.4
2020-04-03,798,915,5.48E+07,1.15E+08,1.16E+09,1000087,1.02E+07,1.83
2020-04-06,798,915,5.48E+07,1.15E+08,1.21E+09,1219389,1.10E+07,2.23
2020-04-07,798,915,5.48E+07,1.15E+08,1.23E+09,951739,1.16E+07,1.74
2020-04-08,798,914,5.48E+07,1.15E+08,1.22E+09,907494,1.11E+07,1.66
2020-04-09,798,914,5.48E+07,1.15E+08,1.24E+09,920571,1.05E+07,1.68
2020-04-10,798,914,5.48E+07,1.15E+08,1.25E+09,992548,1.20E+07,1.81
2020-04-13,798,914,5.48E+07,1.15E+08,1.23E+09,1017752,9516704,1.86
2020-04-14,798,914,5.49E+07,1.15E+08,1.25E+09,886766,9995854,1.62
2020-04-16,797,913,5.49E+07,1.15E+08,1.25E+09,878338,1.07E+07,1.6
2020-04-17,797,913,5.49E+07,1.15E+08,1.29E+09,1667460,1.41E+07,3.04
2020-04-20,797,913,5.49E+07,1.15E+08,1.28E+09,1087463,1.19E+07,1.98
2020-04-21,797,913,5.49E+07,1.15E+08,1.26E+09,1174294,1.39E+07,2.14
